"","Flavor"
"2106","""whirrrr . . . beep . . . click . . . click?"""
"2107","""Step right up! Try your hand! It'll thrill the senses and boggle the mind!"""
"2108","Voska feared the artifact had come too easily."
"2109","No longer the village pariah. No longer taunted and shamed. Sigrun was finally free."
"2110","""Of all the things that can be stolen, opportunity is the most valuable."""
"2111","A farewell to arms . . . and feet . . . and legs . . ."
"2112","""Look! That is why we must never waver. That is what awaits us if we fail."" —Djeru, initiate of Tah crop"
"2113","""Run away! It's an . . . um . . . run away!"" —Nomad sentry"
"2114","Ashnod invented several torture techniques that could make victims even miles away beg for mercy as if the End had come."
"2115","""You are fortunate, my enemy. You have paid the price but once. I never stop paying."""
"2116","Pass me from soul to soul, / soldier to herder, herder to beast, beast to soil / until I am everywhere. / Then pass me those souls. —Totem inscription (translated)"
"2117","It is the demon's mark, an infernal claim on the flesh of the guilty."
"2118","Flavorful aromas beckon many a salivating maw."
"2119","The giant's real punishment was the fleeting moment when he was allowed to stand before being dragged down to his knees again."
"2120","""Let them cry for mercy. The only one who can hear them is me."" —Siglind the Conqueror"
"2121","""May you and all your kin waste and wither until your clan is no more!"""
"2122","Sounds of life beckon many a restless soul."
"2123","""I do believe your heresy will prove more difficult now that you have more pressing concerns."" —Bishop Argust"
"2124","""As long as I pull the strings, you will dance."" —Tezzeret"
"2125","""Our world has not felt her thundering steps in lifetimes, but Marit Lage's presence is still with us."" —Halvor Arenson, Kjeldoran Priest"
"2126","The first step to peace is to learn how to forget."
"2127","Jingling coins beckon many an eager hand."
"2128","""Hunters feed on the fear of their prey."" —Garruk Wildspeaker"
"2129","""Innocent thorns can fill the air with your bloodscent. Don't stray from the path."" —Elmut, crossway watcher"
"2130","After seeing his life's work drip away, the mage decided it was a good time to go crazy."
"2131","""Purge the damned, for they have no place among the righteous!"" —Seeta of Thraben"
"2132","When the moon rises and the bloodlust takes hold, nothing matters but the kill."
"2133","""May your veins weep, and may every vampire take notice."" —Stensian curse"
"2134","Another imminent battle subsided in busy snuffling and carefree rooting."
"2135","""May you drink until you drown but never be sated."" —Odila, witch of Morkrut"
"2136","Idle chatter beckons many an attentive ear."
"2137","Good health beckons many a vigorous follower."
"2138","""We must all push through the pain to heal our world."" —Ayli, Kamsa cleric"
"2139","""Paint gold upon the wind, Shape the wind into a shield, And vanish behind the brightness."" —Snow-Fur, kitsune poet"
"2140","""We give the audience what they want."" —Juri, proprietor of the Juri Revue"
"2141","Silumgar delights in repurposing the treasures of other clans to serve his own ravenous greed."
"2142","""Keeping order is a task too important to relinquish in death."" —Abrado, Custodi priest"
"2143","Goblins resolve disputes by splitting everything straight down the middle."
"2144","A bribe is always faster than filling out paperwork."
"2145","""The more kami that passed through the veil that separated them from our world, the weaker that veil became, threatening to tear into tatters at the slightest pressure."" —The History of Kamigawa"
"2146","""You cannot bar the path of gods. You can only divert their journey for a while."" —Sensei Hisoka"
"2147","Her blades slashed across the noble's shadow. He scoffed, then fell over dead."
"2148","""Our ambition drives us forward. Together we will claim what is ours, no matter who holds it."""
"2149","Thus does nature assert herself."
"2150","The rampaging Roil creates life out of the most volatile elements."
"2151","The Izzet specialize in unnatural disaster."
"2152","A tomb-eye may remain shut for centuries. It opens when it sees a world as twisted and hollow as the wretch beneath its lid."
"2153","The ritual of plucking out an eye to gain future sight is but a curse that enables the living to see their own deaths."
"2154","The spoiled, gluttonous halls of the Orzhov teem with gaudy, needless wealth. Even their security measures are made for beauty first, efficiency second."
"2155","""The anger that festers inside this one is contagious."" —Anthousa of Setessa"
"2156","The Champion armed herself to face the cyclops, heedless of her companions' despair. ""How will you defeat it with only one spear?"" asked young Althemone. The Champion raised her weapon. ""It has but one eye."" —The Theriad"
"2157","A single eye, blinded by rage."
"2158","From her sunsail tent high above the forest floor, an elf harkener can hear the footfalls of a single creature through the cacophony of Naya's jungle sounds."
"2159","""The sun shines bright upon the strong."""
"2160","Phyrexia strives to simulate natural life, but it can't resist improving on the design."
"2161","""Though highly effective at reshaping flesh, these specially bred cytoplasts leave the subject reeking of omnibian mucus."" —Simic research notes"
"2162","""Petrifying gaze, deadly fangs, knifelike dorsal spines, venomous saliva . . . Am I missing anything? . . . Toxic bones? Seriously?"" —Samila, Murasa Expeditionary House"
"2163","The Simic use the claws as scalpels, while the Rakdos use them for tattooing and torture. The Gruul use them to pick their teeth after lunching on the rest of the carcass."
"2164","One of the many reasons why open-air markets close at dusk."
"2165","""Our victories will protect a thousand generations."""
"2166","What self-indulgence tears down, discipline builds up again."
"2167","""My power is as vast as the plains, my strength is that of mountains. Each wave that crashes upon the shore thunders like blood in my veins."" —Dakkon Blackblade, Memoirs"
"2168","The bat thrives on what underestimates it."
"2169","""Cursed be the sickly forms that err from honest Nature's rule!"" —Alfred, Lord Tennyson, ""Locksley Hall"""
"2170","The darkness of his shield reflects the inky blackness of his soul."
"2171","The tiniest cough can be deadlier than the fiercest dragon."
"2172","A scorpion this big you won't find curled up in your boot. Maybe around your boot, but not in it."
"2173","Choices are rarely as simple as they seem."
"2174","Ask your query and be on your way. Just don't look her in the eye."
"2175","""Silumgar's mind is a dark labyrinth, full of grim secrets and subtle traps."" —Siara, the Dragon's Mouth"
"2176","""Quiet now, you dreadful vermin.""—Noyan Dar, Tazeem roilmage"
"2177","Eventually, mages learned to harness the power of natural damping fields and use it for their own ends."
"2178","The priests tried cursing it. The mages tried dispelling it. In the end, they all obeyed it."
"2179","A Thran relic, it has spent ten thousand years doing absolutely nothing."
"2180","""Only one man survived, barely sane. He got out two words before collapsing: shadows' shadows."""
"2181","The Ojutai believe in the Great Wheel: those who best serve the dragonlord are destined to be reborn as dragons."
"2182","Devils sow chaos and reap panic."
"2183","A blade that has never known sheath, a hilt that has never known hand."
"2184","""Catch good today. Start replacing crew tomorrow."" —Faysal al-Mousa, fisher captain, log"
"2185","""C'mon friend, take a turn tossing the knucklebones. What've you got to lose?"" —Tobias, trader of Erdwal"
"2186","""I will protect the less fortunate. I will love bravely. I will face despair and fight on. As a Capashen, I can do no less."""
"2187","""And the flamingos said, 'Get out of our nest—we can't be seen with the likes of you!' So, the griffin ate them."" —Azeworai, ""The Ugly Bird"""
"2188","Legend has it the darba gave up its wings in return for an extra stomach."
"2189","""With his dream of unification fulfilled, Darien became the last king of Kjeldor. Those who followed were known as the kings of New Argive."" —Kjeldor: Ice Civilization"
"2190","""Darigaaz is the breath of the ur-dragon, burning away the burdens of mortality."""
"2191","In front of every great wizard is a doomed apprentice."
"2192","No ancient lore ties the pirates of the Brazen Coalition to the Immortal Sun. But it's a powerful ancient artifact in a city of gold—what's not to covet?"
"2193","Living so close to death gives the aetherborn an unusual perspective on risk."
"2194","Most warriors think in only two dimensions. Agnate and his metathran brethren were trained to battle in three."
"2195","""They'll never see me coming."""
"2196","""The hard part isn't landing in the saddle. The hard part is leaping before you see it."""
"2197","""No matter the cost, I must discover the source of these strange happenings."""
"2198","Honesty is the first casualty of war."
"2199","""It is the way of most wizards to begin by exiling themselves and to end by exiling everyone else."" —Hanna, Weatherlight navigator"
"2200","""I have pustules of the great Ratadrabik, very cheap. No? Surely you'll want a tincture of Nevinyrral's pulverized remains. Genuine!"""
"2201","""You're just like me: ruthless, cunning, and ambitious. Obviously you're a threat."" —Basarios the Blade"
"2202","Greatness, at any cost."
"2203","The first khans of the Sultai relied on the magic of the rakshasa to ensure the survival of the clan."
"2204","The eclipse made it clear whose side the sky was on."
"2205","When he began to curse what he held holy, his strength grew unrivaled."
"2206","""The soil here is rich with the rotting dead, and the sun's fingers barely penetrate the dark canopy. Plant our brethren here. This shall be our sanctuary."" —Savra"
"2207","""At first we thought we were in some haunted wood. Then the branches twisted and scuttled toward us."" —Merrik Aidar, Benalish patrol"
"2208","""Ah, this is a nice life. I can see why you were so desperate to keep it."""
"2209","""Your mind is no longer yours to waste."""
"2210","""In this dark place, yes, I am afraid of my own shadow."" —Mirri of the Weatherlight"
"2211","It shines in the darkness of its master's ambitions."
"2212","""Stray not onto the path of darkness, or be lost forever."" —Baki, wizard attendant"
"2213","""If I must die, I will encounter darkness as a bride, / And hug it in mine arms."" —William Shakespeare, Measure for Measure"
"2214","Demons lurk in the shadows of ancient ruins, spreading plague and corruption across the land."
"2215","""Our greatest hope has become our enemy's greatest triumph."" —Court counselor"
"2216","""As you breathe your last, understand why I accept such forbidden gifts."" —Purraj of Urborg"
"2217","When the bog ran short on small animals, Ekri turned to the surrounding farmlands."
"2218","The murderer faced justice in the Azorius courts, but his soul was set free on a technicality."
"2219","""If there is such a thing as too much power, I have not discovered it."" —Volrath"
"2220","Countless ghouls surged through Thraben's streets, and with them came the city's salvation."
"2221","At the edge of the Mephidross, Phyrexia's influence seeps into life and land."
"2222","Where the Mephidross leaches into the Quicksilver Sea, the waves writhe with necrogen."
"2223","""I was struck senseless for a moment, but revived when the strange curiosity I carried fell to the ground, screaming like a dying animal."" —Barl, Lord Ith"
"2224","Heavier than it looks, tricky to wield, guaranteed to last."
"2225","Structures built from darksteel yield to neither assault nor age."
"2226","""It is as if this world has been expecting our blessings."" —Elesh Norn, Grand Cenobite"
"2227","The ultimate treasure is one that guards itself."
"2228","""It reflects the purity of Mirrodin-that-was."" —Koth of the Hammer"
"2229","One part unstoppable force, one part immovable object."
"2230","Infinitely powerless."
"2231","If there can be no victory, then I will fight forever."" —Koth of the Hammer"
"2232","""It's the last thing we can call our own."" —Minhu, Mirran resistance"
"2233","Cabal clerics serve two masters: their patriarch and their god."
"2234","""After four thousand years, you learn to plan for betrayal."" —Urza"
"2235","When you've got the temperament of a dragon, every argument is one you'll win."
"2236","Werewolf slayers don't know for certain how werewolves are created. So they kill all the wolves, just to be safe."
"2237","All that's left is the coronation."
"2238","""It is a rough road that leads to the heights of greatness."" —Seneca, Epistles, trans. Gummere"
"2239","Murky Otarian tides hide the forgotten treacheries of the Phyrexian war."
"2240","""Do you thirst for knowledge no matter the cost?"" —Watnik, master glassblower"
"2241","You might as well try to catch water with a net."
"2242","Although the Order frowned upon his preparations for the pits, behind closed doors most saw the fights as a necessary evil."
"2243","He lifts the spirits of his people so they may descend in wrath upon their foes."
"2244","His victories speak for him."
"2245","""Focus an enemy's mind on what's already gone, and it's easier to take away more."" —Holux, stronghold racketeer"
"2246","""Those who say that Serra is dead have never met the Autumn Willow's daughters. They are as kind and as generous as Serra would wish us to be."" —Gulsen, Abbey Matron"
"2247","""I will wield the stone of my homeland as though it were the fists of the Ancestor."""
"2248","In the chaos brought by the new gods, swift-winged aven served as pathfinders, leading the last of the people away from the ruins of Naktamun."
"2249","The Benalish aristocracy is hereditary, but the loyalty of its subjects is earned."
"2250","""The harder they try to extinguish my faith, the brighter it burns in the darkness."""
"2251","Elspeth's squires do not seek advancement. For them, no knightly glory could surpass the glory of serving their champion."
"2252","""The people of Akros must learn from our leonin adversaries. If we match their staunch ferocity with our superior faith, we cannot fail."" —Cymede, queen of Akros"
"2253","""Thieves and squid squirm the same way when you capture them."""
"2254","In their twisted logic, to empty the shadow world is to escape it."
"2255","""The Dauthi army grows by screams and bounds."" —Lyna, Soltari emissary"
"2256","""All dauthi are jackals, regardless of breed."" —Lyna, soltari emissary"
"2257","""The dauthi came from beneath the ruins one night, and the darkness cast them in the best possible light."" —Soltari Tales of Life"
"2258","""The dauthi believe they dignify murder by paying for it."" —Lyna, soltari emissary"
"2259","""They have knives for every soul."" —Lyna, soltari emissary"
"2260","Merfolk tell their young of Dandân, humans of Rag Man. Dal tell tales of the Dauthi, and they are far worse."
"2261","Avenant's archers are also trained as poets, so that each arrow is guided by a fragment of verse."
"2262","""One arrow keenly fired might prevent more battlefield wounds than I could treat."""
"2263","""Go swiftly, clever arrow, and teach The philosophy of stillness."" —D'Avenant verse"
"2264","""Nyx may belong to the gods, but the skies of Theros are ours."""
"2265","It was midnight on the Daru Plains, yet it seemed the sun was rising."
"2266","""It came to rest upon the angel's arm, and then the weight of their gazes fell upon me."" —Aeronaut's journal"
"2267","""What we knew as Emeria, Ula, and Cosi were not divine beings at all, but a cruel trick, and a grave error.""—The Invokers' Tales"
"2268","Dawnglove bloom is a potent nostrum, but the dawnglow brewed from its sap is nothing less than life itself."
"2269","After facing so many horrors, the survivors of Videns parish couldn't comprehend the hope that the gryff represented."
"2270","Their shots are fired most often as signals—or at those who didn't get the message."
"2271","Only Sylvok magic could truly capture the perfection of a Mirrodin sunrise."
"2272","Morning's mists can hide many things."
"2273","She crushes darkness beneath her charger's hooves."
"2274","""The numbers of Nyxborn among us have swelled. Is this a sign of the gods' favor, or does it portend something else?"""
"2275","Silent as winter snow, it seeks wild places unspoiled by the walking dead."
"2276","The terrors of the Underworld travel alongside those who return to the mortal realm."
"2277","""Let the deception of the gods yield to the pure light of day."" —Brimaz, king of Oreskos"
"2278","""Rise like the sun, stand like the mountain, charge like the lion, die as a hero."" —General Takeno"
"2279","""I have seen planes leveled and all life rendered to dust. It brought no pleasure, even to a heart as dark as mine."" —Sorin Markov"
"2280","When Anafenza holds court under the First Tree, the gates of Mer-Ek are sealed. No safer place exists in all of Tarkir."
"2281","""The light of a felidar's horns can give even an Eldrazi pause."" —Zarra, lullmage"
"2282","""Nothing ruins your day like a blazing zombie."" —Tahngarth"
"2283","Some Golgari insects live for centuries—and they never stop growing."
"2284","Ending her life won't end the infestation."
"2285","Got a diving lesson —Sultai expression meaning ""was fed to the crocodiles"""
"2286","""It seems there's even better hunting down here."""
"2287","""Keep your friends close and your enemies within range."""
"2288","""Welcome aboard, mate! You're going to need this."""
"2289","""Up you go, you soggy rat."""
"2290","Despite their noble heritage, the pirates of the Deadeye Fleet are known for underhanded tactics and despicable trickery."
"2291","""I'm back from the Dead,"" the zombie moaned. ""And they were far out, man."""
"2292","What could be more irresistible than death?"
"2293","""There is no time for pain when this beast leaves its terrible sting."" —Jaeuhl Carthalion, Juniper Order Advocate"
"2294","Even dragons fear its silken strands."
"2295","When the winds blow out of the abyss, death is the only harvest."
"2296","""Seclusion is only an option for the strong."" —Sorin Markov"
"2297","Many venture out to hunt for treasures. Others lie in wait to hunt the hunters."
"2298","He's the unlife of the party."
"2299","""Beautiful, isn't it?"" crowed Crovax. ""They fought together. Now they will die together."""
"2300","""Carrion! Keep your distance. My blade will come to you!"" —Crovax"
"2301","""May the earth rise up to meet you."""
"2302","""Dungeons and cages offer far too little sport."" —Relio Voldaren"
"2303","Until he got singed . . ."
"2304","""Never forget our ancestors. They have not forgotten us."" —Mikaeus, the Lunarch"
"2305","For the necromancer barons, killing and recruitment are one and the same."
"2306","""The temple has been rededicated. It belongs to Mogis now."" —Rastos, disciple of Mogis"
"2307","""Nature is not always gentle or kind, but all life begets life."" —Marwyn of Llanowar"
"2308","There's no higher honor in Phyrexia than dying for Yawgmoth's glorious vision."
"2309","Suddenly, Eldo felt very alone."
"2310","The old hermit would never say what he fed his mushrooms, and people learned not to ask."
"2311","It vents the chill of the grave."
"2312","The swarm's million wings stir the foulest of breezes."
"2313","Death inevitably seduces all who study it."
"2314","""The hussars can't catch him, and he evades our traps with ease. I fear he walks unseen even in the halls of New Prahv."" —Arrester Lavinia, Tenth Precinct"
"2315","After their worship of oni began, only a few of Kamigawa's ogres remained in the bitter cold of the Tendo Peaks. Most were drawn to the darkness of Takenuma."
"2316","Takenuma was filled with a chorus of moans, shrieks, and wails. Some came from the living, some from the dying, and some, most horribly, from the dead."
"2317","The crocodiles' putrid jaws swallow everything but the screams."
"2318","""Sometimes I come across a stone finger or foot and I know I'm in cockatrice territory."" —Rulak, bog guide"
"2319","Your entire life passes before its eyes."
"2320","Plate mail, the skin of the chest, the rib cage, the heart—all useless against the mage who can reach directly for the soul."
"2321","""The bones of allies grant wisdom. The bones of enemies grant strength. The bones of dragons grant life eternal."""
"2322","""Every forest is carpeted with the corpses of a thousand trees."" —Baron Sengir to Autumn Willow"
"2323","""Size alone does not guarantee survival."" —Vorinclex, Voice of Hunger"
"2324","""Ancient one, we have reached the promised shore. The Immortal Sun is near. Drink and awake."""
"2325","""I should have died that day, but I suffered not a scratch. I awoke in a lake of blood, none of it apparently my own."" —The War Diaries"
"2326","""Over and over it rose. Over and over we fell.""—Ganda, Goma Fada deserter"
"2327","There are few ways to escape the deathmark: bargaining with a demon, washing in the fabled waters of youth, and of course, death."
"2328","Death is a secret he is willing to share."
"2329","""We had him cornered, we did . . . and, well, you know what they say about rats."" —Araba patrol survivor"
"2330","The Cabal breeds many things for the pit fights, but it never breeds compassion."
"2331","""Kill them all and feed them to the new recruits."" —Crovax, ascendant evincar"
"2332","As the sludge below began to shift and take shapes, Gerrard turned from the railing to Orim. ""I suppose,"" he said, ""it's a little too late for prayer, isn't it?"""
"2333","""All who set foot in Paliano are pawns in someone's play for power."" —Marchesa, the Black Rose"
"2334","""It's cold in the grave, and the dead crave your warmth. Who are you to deny them?"" —Strava, Dimir mage"
"2335","The faint smell of cloves, the rustling of the wind, and a paralyzing descent into an airless, fathomless tomb."
"2336","Life has always been a dance. It is only fitting that death sing the tune."
"2337","Infested with vermin, ever hungering, dropping from night's sky."
"2338","""Such innocent little birds. They sing a sweet song, sitting on their fragile branch."" —Grandmother Sengir"
"2339","""We traffic in flesh, not souls. Still, it's a shame to let anything go to waste."" —Cevraya, Golgari shaman"
"2340","The shadow of the candle looms tall even as its light grows dim."
"2341","For a sharp second, Selenia froze, and Crovax's blade found home. As the angel shattered like glass, Crovax felt his mind collapse—the curse had been fulfilled."
"2342","""Sometimes, a soul is not ready to complete its journey to the next world."" —Halvor Arenson, Kjeldoran Priest"
"2343","""Watch death wait / Wait, death, watch / Steal breath swiftly / but steal life slowly."" —Suq'Ata dirge"
"2344","Leukin stared at the smoldering angel feathers. ""Run!"" he screamed to his patrol. ""We don't stand a chance!"""
"2345","He wished for power, but not for the longevity to abuse it."
"2346","""If weakness does not exist within the Temur then we shall force it upon them."" —Sidisi, khan of the Sultai"
"2347","""I killed him because I had to,"" Starke lied to Gerrard. ""But now I pledge my loyalty to you."""
"2348","One moment, conscious only of a sense of repose. The next moment, hearing the trudge of his own footsteps. He sighed and squinted into the glare ahead."
"2349","""You may not be able to pay. But you can still kneel."" —Milana, Orzhov prelate"
"2350","Some of Orzhov's cruelest collectors remember their debtors by taste alone."
"2351","Believing they wrote the forged letter that had been stolen from Zhou Yu, Cao Cao rashly executed his two best admirals for treason."
"2352","Anarchy comes in many forms: social, individual, Gruul . . ."
"2353","Mycosynth grew unfettered beneath the black lacuna, metastasizing into a matrix of noxious energy."
"2354","""Eyes see only what is possible. A trained mind can explore the impossible."" —Kefnet, god of knowledge"
"2355","The message was clear to Sorin—Nahiri had paid Markov Manor a visit."
"2356","Every story, even a faerie tale, comes to an end."
"2357","Progress leads to inspiration."
"2358","""A key weakness in the design is its vulnerability to repeated, forceful blows."""
"2359","""Sheesh! How am I supposed to make a decent living around here?"" —Cabal grave robber"
"2360","""Nothing in this world, not even magic, likes to be caged."""
"2361","The awards and medals of polis-dwellers mean nothing to griffins, but they repay acts of generosity."
"2362","""If he's so willing to suffer for his cause, then by all means, let us oblige him."" —Cabal Patriarch"
"2363","""No fact escapes me. Why do you think you can?"""
"2364","The rivers can no longer provide safe passage for travelers and commerce. They serve only as highways for raiders and channels for blood and woe."
"2365","""There are deep, deep places in this world that have long burned hot with little regard for the whitening of the earth's thin skin."" —Sek'Kuar, Deathkeeper"
"2366","For cryomancers, studying the Ice Age isn't just an academic exercise."
"2367","Its graceful glide paints the ocean floor with strokes of luminescence."
"2368","""No good will come from what you seek. Turn back now or suffer an ignoble death far from your home."""
"2369","""You think I stand alone? I have the forest at my call, the waters at my back. I outnumber you."""
"2370","""We breathe from our soul and bones to give strength to the jungle. The jungle breathes from its roots and rivers to give strength to us."" —Shaper Falani"
"2371","A visit to the Deeproot Tree and its ancient spring replenishes a merfolk's connection to nature."
"2372","The rift remained open for days, sluicing ancient seawater. It closed only after the last great tentacle squirmed its way through."
"2373","Sailors fear the deep-sea serpent; others thank the gods it has no legs."
"2374","After stripping the sunken ships, it rises to the surface for another helping."
"2375","Do not disturb."
"2376","""My success at navigating the Dark Meanders irritates the Inkfathom school. They consider themselves peerless divers, but I try to remind them that they cannot own commodities like bravery and cunning."""
"2377","""Watch the waves too long, and you may never look away."" —Meletian proverb"
"2378","His drums echo Deepwood's heartbeat."
"2379","They'd guarded the Henge so long that they were as attuned to the powerstones as they were to the trees."
"2380","They feed on the living to stay undead."
"2381","A single tantiv is just as dangerous as a herd."
"2382","The jhovalls are depleting its food sources, the Mercadians are eroding its home, and you're wondering why it's angry?"
"2383","Once vampires are disarmed, they're given wooden swords and forced to assist in the training of Midnight Duelists."
"2384","""Wars are decided one life at a time."" —Gvar Barzeel, Kolaghan warrior"
"2385","Nothing gets by her . . . except the evidence, the motive, and the culprit."
"2386","Some knights will not follow orders—only disorder."
"2387","""It is not my place to question Radiant's rule. I exist to enforce her will."""
"2388","The defenders said not a word. Their shields, spears, and stances were warning enough."
"2389","It lights up the sky, beckoning enemies only to repel them."
"2390","""Your enemies will pound upon the door of your defenses, but only you shall have the key, and it is the key of life."" —Song of All, canto 873"
"2391","""Only on the battlefield can we repay all the Order has given us."""
"2392","""It isn't for fighting. It's for when the fighting's gone bad."" —Kara Vrist, Mirran resistance"
"2393","""Despite their bravado, mortals are fragile. If Zendikar is to endure, its lords must save it.""—Drana, Kalastria bloodchief"
"2394","""I lost one home when Yavimaya was destroyed. I will not lose another."""
"2395","There were those who saw the death of the gods and the city's collapse as a final test of worth. Some believed it meant the God-Pharaoh had been killed. Only a few realized they had been deceived."
"2396","""I have no clan, but I still have purpose."""
"2397","""I didn't survive that crash just so I could fall to the likes of you."""
"2398","""Stand where the whole battle can see you. Strike so they'll never forget."" —Anafenza, khan of the Abzan"
"2399","""Stray not into sin, lest you face the doorman of an insatiable tomb."" —Prayer of Asha"
"2400","Serra's living warriors looked on in horror. ""Where is our Lady now?"" they cried."
"2401","The golden rule of revenge: Do unto others what they tried to do unto you."
"2402","""With spy thopters all around, how can the consuls be so blind to Tezzeret's manipulations?"" —Gideon Jura"
"2403","Some Serul Cove rogues traffic in stolen sigils, which fetch a high price from those who would rather pay for honor than earn it."
"2404","Gisela cornered the murderous demon among the graves of the dead villagers. ""A fitting end,"" she murmured as she raised her sword."
"2405","Magical or not, it's still a cloud."
"2406","""There is no true equity of power. There is only more and less."""
"2407","The more pleasant an illusion's garb, the more indecent its form laid bare."
"2408","The viashino used the spell to dry foods for crossing the Great Desert. The Suq'Ata later discovered its use in war."
"2409","""It is done."" —Elspeth"
"2410","""His skin cuts swords."" —The Seer's Parables"
"2411","History is the study of repetition."
"2412","""Where is it written that beasts must cause pain?"" —Delif, Ponderings"
"2413","""click...click...whirrrr...beep."""
"2414","There came a rush, a sudden fire in the mind. Then the two saw only the sooty fog of madness, heard only the crackling of their last thoughts burning away."
"2415","It wears the souls of its victims like jewels on a chain."
"2416","""From the sea came all life, and to the sea it will return. The sooner the better."" —Emperor Aboshan"
"2417","When nothing but second best will do."
"2418","""When terror outweighs all other thoughts, they will understand that I am the true Father of Machines."" —Azax-Azog, the Demon Thane"
"2419","""His laugh, a bellowing, deathly din, slices through the heavens, making them bleed."" —The Seer's Parables"
"2420","What took months for human hands to carve took just seconds for the dinosaur's tail to ruin."
"2421","""Morality is just shorthand for the constraints of being powerless."" —Ob Nixilis"
"2422","Created to destroy Dominiaria, demons can sometimes be bent to a more focused purpose."
"2423","Which is the greater folly, summoning the demon or expecting gratitude from it?"
"2424","Subservience to greater power is the only law in the pit."
"2425","Liliana learned the secrets she sought, but at a price that was etched on her fate."
"2426","In the Cabal, death is just another mark of devotion."
"2427","It comes off as easily as your own skin."
"2428","The locks on the cages of the damned are opened with keys of marrow, sinew, and blood."
"2429","""Take what solace you can in the knowledge that you will not be here to witness Zendikar's demise."" —Ob Nixilis"
"2430","""May these deaths be the first of many."""
"2431","Its curve mimics the twists of life and death."
"2432","They knock 'em dead, with or without the punch line."
"2433","Using a spine to break a slave's back appeals to the Grixis sense of irony."
"2434","""The River Heralds carve spells into jade, hoping to steer us from our course. But what right do they have to keep us from that which once was ours?"""
"2435","""Don't worry about it. It happens to every mage sooner or later."""
"2436","According to merfolk legend, a denizen of the deep swallows the horizon at the end of each day, bringing on the cold blanket of night."
"2437","The orochi learned how to move swiftly and surely along the forest floor, like fish darting through gull-watched waters."
"2438","""Big plants not only good for hidin', but full o' tasty bugs, too."" —Squee, goblin cabin hand"
"2439","When all logical solutions fail, try an illogical one."
"2440","""The third wind of ascension is Eliminator, clearing Keld's path to victory."" —Keld Triumphant"
"2441","Gideon and Liliana may not have seen eye to eye, but that did not stop them from fighting side by side."
"2442","""We will descend upon you like a plague of locusts to purge you from our lands!"" —Hirov, commander of the Thousand Swords"
"2443","""That would have brought shame to you as a mage. Tell you what—I'll keep your secret."" —Noyan Dar, Tazeem lullmage"
"2444","Pockets full of gold, lungs full of brine."
"2445","Butcher's training, warrior's heart."
"2446","""Everyone deserves a day in court."""
"2447","""Garl, adjust the slurry dispensers. Garl, fetch more corpses. Garl, quit crying and give me your brain tissue. If he doesn't stop being so rude, I'm quitting."""
"2448","Cast out by his village, he now takes grim offense at refugees who seek shelter in his forest."
"2449","""When you confront a wolf scorned by its pack, extra caution is the order of the day."" —Raf Gyel of the Quiver of Kessig"
"2450","""Strength it has, but at the cost of a continuous supply of energy. Such failure can bear only one result."" —Execution order of Endrek Sahr, master breeder"
"2451","""The blood of Kiyomaro flows in my veins. He did not let Eiganjo fall and neither shall I."""
"2452","""Soramaro speaks through me. Listen! And I will tell the wisdom of the ancestors."""
"2453","Above the cries, a phrase rang out: ""You will all be saved."""
"2454","The stairs lead down in both directions."
"2455","Dragons emerge from tempests fully formed and terribly hungry."
"2456","""The land is swollen with mana, cursed relics, and secrets. If you puncture it, you never know what will burst out."" —Javad Nasrin, Ondu relic hunter"
"2457","Its precious corpses dance like puppets to attract mindless nim prey."
"2458","""The gods think of us as insects. Perhaps there is wisdom in that."" —Perisophia the philosopher"
"2459","Loose earth is not a burial but an appetizer."
"2460","The endless expanse of desert surrounding Naktamun sometimes yields threats that the gods themselves must answer."
"2461","Never doubt a dragon just because of its size."
"2462","A monument to long-forgotten gods, it stands as a tribute to the fleeting nature of human ways."
"2463","In Akros, the penalty for running from battle is one night's stay in the Deserter's Quarters."
"2464","First the insult, then the injury."
"2465","While pursuing the remnants of Yuan Shao's forces into the Wuhan Desert, Cao Cao was temporarily turned back by a fierce sandstorm."
"2466","Massive, mindless, and imbued with one terrible purpose."
"2467","""The nature of this plane makes it almost too easy for me to command the dead."" —Liliana Vess"
"2468","A lonely sentinel facing gales, hurricanes, and tides of homicidal spirits."
"2469","""Kill a creature, destroy the present. Kill the land, destroy the future."" —Kaervek"
"2470","""With precise coordination and enough blood spilled, one can be driven off, even brought down. But two . . . that's a lot of blood.""—Munda, ambush leader"
"2471","A pirate crew without a ship is a crew that will do anything to get one."
"2472","""Lieutenants dishonored, corpses carted home; The general raises troops again to take revenge."""
"2473","Her mind was quite gone, yet she spoke nothing but truth."
"2474","At the Akroan gates, hoplites revived the tactics of Kytheon Iora's infamous irregulars."
"2475","""You have returned from fire, traitor. This time I will see you leave as ashes."" —Zurgo, to Sarkhan Vol"
"2476","Nothing could grow where the vile smoke had been, and no one could breathe it and live."
"2477","Rats and vultures devour. It desecrates."
"2478","""click...click...beep...whirrr..."""
"2479","""We were not meant to have such terrible things. They should be left where we found them, if not destroyed!"" —Sorine Relicbane, Soldevi heretic"
"2480","Everyone knew the Dimir had done the damage. Everyone suspected the Izzet had hired them."
"2481","Stage two of the Phyrexian invasion included the complete alteration of Dominaria's landscape."
"2482","The end of the world rarely comes quietly."
"2483","""Stoke a fire hot enough and you'll never run out of things to burn."" —Xenagos, the Reveler"
